"disabledOnThisBranch","_id","barcode","code","zone","aisle","shelf","name","scientificName","itemId","collection","unit","category","categoryId","brand","inventory","inventoryId","quantity","quantities","packagingQuantity","expires","packaging","quantityInPackaging","quantityByDefaultPackaging","singleBadgeNumber","itemCostPrice","itemCostPriceCurrency","costPrice","costPriceIqd","costPriceUsd","sellingPriceMultiple","sellingPrice","defaultCurrency","defaultCurrencyMultiple","exRate","parentItem","parentItemId","totalCostPrice","totalCostPriceIqd","totalCostPriceUsd","costPriceCurrency","itemExpenseCost","trader","traderName","attributes","supplier","inventoryReminderQuantity","volume","weight","potentialSalesValue","display","packing","currentRent","key","rowIndex","expiryDate"
"no","6a44fbed7bd19ff6267da056","616","","","","","Adata uv128 usb3 16gb","","","","","FLASH USB","6a44fbe67bd19ff6267d9659","","سەرەکی","6a44cc677bd19ff6267d63f4","1","","1","no","1 دانە","1","1","true","3.5","$","3.5","0","3.5","7","10","$","$","","","","","0","3.5","$","","","","","","10","0","0","10","true","","0","6a44fbed7bd19ff6267da056-27","27",""
"no","6a44fbed7bd19ff6267d9f6e","624","","","","","Adata uv140 16gb","","","","","FLASH USB","6a44fbe67bd19ff6267d9659","","سەرەکی","6a44cc677bd19ff6267d63f4","1","","1","no","1 دانە","1","1","true","4","$","4","0","4","7","10","$","$","","","","","0","4","$","","","","","","10","0","0","10","true","","0","6a44fbed7bd19ff6267d9f6e-28","28",""
"no","6a44fbf57bd19ff6267dab3d","1091","","","","","AddLink 16gb 3600mhz rgb","","","","","RAM","6a44d0877bd19ff6267d698c","","سەرەکی","6a44cc677bd19ff6267d63f4","1","","1","no","1 دانە","1","1","true","100","$","100","0","100","115","140","$","$","","","","","0","100","$","","","","","","10","0","0","140","true","","0","6a44fbf57bd19ff6267dab3d-29","29",""
"no","6a44fbf57bd19ff6267daab9","1100","","","","","Addlink 512GB Nvme","","","","","M.2","6a44fbeb7bd19ff6267d9da9","","سەرەکی","6a44cc677bd19ff6267d63f4","1","","1","no","1 دانە","1","1","true","60","$","60","0","60","70","75","$","$","","","","","0","60","$","","","","","","10","0","0","75","true","","0","6a44fbf57bd19ff6267daab9-30","30",""
"no","6a44fbe67bd19ff6267d9670","261","","","","","Alseye w90","","","","","COOLER","6a44fbe67bd19ff6267d9667","","سەرەکی","6a44cc677bd19ff6267d63f4","4","","4","no","4 دانە","1","4","true","21","$","21","0","21","30","35","$","$","","","","","0","84","$","","","","","","10","0","0","140","true","","0","6a44fbe67bd19ff6267d9670-31","31",""
"no","6a44fbe87bd19ff6267d98b0","343","","","","","Asrock H470 phantom 2","","","","","MOTHERBOARD","6a44fbe67bd19ff6267d96a3","","سەرەکی","6a44cc677bd19ff6267d63f4","2","","2","no","2 دانە","1","2","true","88","$","88","0","88","105","115","$","$","","","","","0","176","$","","","","","","10","0","0","230","true","","0","6a44fbe87bd19ff6267d98b0-32","32",""
"no","6a44fbf37bd19ff6267da902","1023","","","","","Asus PA830 Tower Black","","","","","CASE","6a44fbe77bd19ff6267d979f","","سەرەکی","6a44cc677bd19ff6267d63f4","26","","26","no","26 دانە","1","26","true","51.2","$","51.2","0","51.2","80","100","$","$","","","","","0","1331.2","$","","","","","","10","0","0","2600","true","","0","6a44fbf37bd19ff6267da902-33","33",""
"no","6a44fbf37bd19ff6267da8f0","1025","","","","","Asus PA830 Tower White","","","","","CASE","6a44fbe77bd19ff6267d979f","","سەرەکی","6a44cc677bd19ff6267d63f4","37","","37","no","37 دانە","1","37","true","51.2","$","51.2","0","51.2","85","110","$","$","","","","","0","1894.4","$","","","","","","10","0","0","4070","true","","0","6a44fbf37bd19ff6267da8f0-34","34",""
"no","6a44fbe77bd19ff6267d979a","265","","","","","Asus prime B450M-a II","","","","","MOTHERBOARD","6a44fbe67bd19ff6267d96a3","","سەرەکی","6a44cc677bd19ff6267d63f4","1","","1","no","1 دانە","1","1","true","67.5","$","67.5","0","67.5","95","115","$","$","","","","","0","67.5","$","","","","","","10","0","0","115","true","","0","6a44fbe77bd19ff6267d979a-35","35",""
"no","6a44fbe67bd19ff6267d95ce","203","","","","","Asus vp228he 60hz","","","","","MONITOR","6a44fbe47bd19ff6267d943d","","سەرەکی","6a44cc677bd19ff6267d63f4","4","","4","no","4 دانە","1","4","true","86.5","$","86.5","0","86.5","95","110","$","$","","","","","0","346","$","","","","","","10","0","0","440","true","","0","6a44fbe67bd19ff6267d95ce-36","36",""
"no","6a44fbeb7bd19ff6267d9d64","532","","","","","Aswar","","","","","MIC","6a44fbe67bd19ff6267d9643","","سەرەکی","6a44cc677bd19ff6267d63f4","3","","3","no","3 دانە","1","3","true","10","$","10","0","10","15","17","$","$","","","","","0","30","$","","","","","","10","0","0","51","true","","0","6a44fbeb7bd19ff6267d9d64-37","37",""
"no","6a44fbe97bd19ff6267d9a20","429","","","","","Audio ios rl-la07i","","","","","ADAPTER","6a44fbe67bd19ff6267d95db","","سەرەکی","6a44cc677bd19ff6267d63f4","4","","4","no","4 دانە","1","4","true","2","$","2","0","2","3","5","$","$","","","","","0","8","$","","","","","","10","0","0","20","true","","0","6a44fbe97bd19ff6267d9a20-38","38",""
"no","6a44fbe47bd19ff6267d938e","68","","","","","Aula s20","","","","","MOUSE","6a44fbe37bd19ff6267d9217","","سەرەکی","6a44cc677bd19ff6267d63f4","1","","1","no","1 دانە","1","1","true","4","$","4","0","4","6","7","$","$","","","","","0","4","$","","","","","","10","0","0","7","true","","0","6a44fbe47bd19ff6267d938e-39","39",""
"no","6a44fbe97bd19ff6267d9a94","413","","","","","Aux 2in1","","","","","ADAPTER","6a44fbe67bd19ff6267d95db","","سەرەکی","6a44cc677bd19ff6267d63f4","62","","62","no","62 دانە","1","62","true","0.75","$","0.75","0","0.75","1.5","2","$","$","","","","","0","46.5","$","","","","","","10","0","0","124","true","","0","6a44fbe97bd19ff6267d9a94-40","40",""
"no","6a44fbe47bd19ff6267d9400","145","","","","","BHJBL VJ078 BT","","","","","HEADSET","6a44fbe37bd19ff6267d92c7","","سەرەکی","6a44cc677bd19ff6267d63f4","3","","3","no","3 دانە","1","3","true","9","$","9","0","9","11","14","$","$","","","","","0","27","$","","","","","","10","0","0","42","true","","0","6a44fbe47bd19ff6267d9400-41","41",""
"no","6a44fbed7bd19ff6267d9f82","630","","","","","BT 2.0","","","","","ADAPTER","6a44fbe67bd19ff6267d95db","","سەرەکی","6a44cc677bd19ff6267d63f4","14","","14","no","14 دانە","1","14","true","1","$","1","0","1","1.5","2","$","$","","","","","0","14","$","","","","","","10","0","0","28","true","","0","6a44fbed7bd19ff6267d9f82-42","42",""
"no","6a44fbe67bd19ff6267d9654","233","","","","","BT 4","","","","","ADAPTER","6a44fbe67bd19ff6267d95db","","سەرەکی","6a44cc677bd19ff6267d63f4","1","","1","no","1 دانە","1","1","true","1","$","1","0","1","2","3","$","$","","","","","0","1","$","","","","","","10","0","0","3","true","","0","6a44fbe67bd19ff6267d9654-43","43",""
"no","6a44fbf67bd19ff6267dad55","1211","","","","","BT 5.3 aittnt usb","","","","","ADAPTER","6a44fbe67bd19ff6267d95db","","سەرەکی","6a44cc677bd19ff6267d63f4","10","","10","no","10 دانە","1","10","true","0.8","$","0.8","0","0.8","2","3","$","$","","","","","0","8","$","","","","","","10","0","0","30","true","","0","6a44fbf67bd19ff6267dad55-44","44",""
"no","6a44fbed7bd19ff6267d9f56","609","","","","","Bag a01 for 17 inch","","","","","Bag","6a44fbed7bd19ff6267d9f47","","سەرەکی","6a44cc677bd19ff6267d63f4","3","","3","no","3 دانە","1","3","true","7","$","7","0","7","10","14","$","$","","","","","0","21","$","","","","","","10","0","0","42","true","","0","6a44fbed7bd19ff6267d9f56-45","45",""
"no","6a44fbed7bd19ff6267d9fdc","610","","","","","Bag black","","","","","Bag","6a44fbed7bd19ff6267d9f47","","سەرەکی","6a44cc677bd19ff6267d63f4","4","","4","no","4 دانە","1","4","true","5","$","5","0","5","10","14","$","$","","","","","0","20","$","","","","","","10","0","0","56","true","","0","6a44fbed7bd19ff6267d9fdc-46","46",""
"no","6a44fbeb7bd19ff6267d9cc0","450","","","","","Bajel type c 3in1","","","","","ADAPTER","6a44fbe67bd19ff6267d95db","","سەرەکی","6a44cc677bd19ff6267d63f4","4","","4","no","4 دانە","1","4","true","4.5","$","4.5","0","4.5","7","10","$","$","","","","","0","18","$","","","","","","10","0","0","40","true","","0","6a44fbeb7bd19ff6267d9cc0-47","47",""
"no","6a44fbe77bd19ff6267d9874","304","","","","","Black wolf 2x8 16gb 3200mhz RGB","","","","","RAM","6a44d0877bd19ff6267d698c","","سەرەکی","6a44cc677bd19ff6267d63f4","1","","1","no","1 دانە","1","1","true","42","$","42","0","42","110","130","$","$","","","","","0","42","$","","","","","","10","0","0","130","true","","0","6a44fbe77bd19ff6267d9874-48","48",""
